Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7
2/6/2017 21:50:54,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 21:51:12,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 21:54:14,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 21:58:14,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 21:59:32,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 21:59:40,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/6/2017 22:02:48,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 22:08:37,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 22:10:27,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 22:19:46,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/6/2017 22:29:49,Option B,Option B,Option B,Option B,Option B,Option B,Option B
2/6/2017 22:30:19,Option A,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 22:31:30,Option B,Option B,Option B,Option B,Option A,Option B,Option B
2/6/2017 22:42:37,Option B,Option B,Option B,Option A,Option B,Option A,Option A
2/6/2017 22:47:18,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 22:47:37,Option B,Option B,Option B,Option A,Option A,Option B,Option B
2/6/2017 22:48:38,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 22:59:22,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 23:05:54,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 23:22:42,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/6/2017 23:31:44,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/6/2017 23:36:04,Option B,Option A,Option B,Option B,Option B,Option A,Option B
2/6/2017 23:45:35,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/6/2017 23:52:28,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 0:10:35,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 0:15:28,Option B,Option B,Option B,Option A,Option B,Option A,Option B
2/7/2017 0:15:39,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 0:22:20,Option B,Option B,Option B,Option B,Option B,Option A,Option A
2/7/2017 0:45:50,Option B,Option B,Option B,Option B,Option B,Option B,Option B
2/7/2017 0:48:08,Option B,Option A,Option B,Option A,Option A,Option A,Option B
2/7/2017 1:13:53,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/7/2017 1:16:14,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/7/2017 1:37:08,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 1:51:46,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 1:53:53,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 1:58:47,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/7/2017 2:29:53,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 2:37:30,Option B,Option B,Option B,Option B,Option B,Option B,Option A
2/7/2017 2:39:52,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/7/2017 2:52:40,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 3:23:43,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/7/2017 3:38:02,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/7/2017 3:48:28,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 3:52:12,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/7/2017 4:17:23,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/7/2017 4:23:37,Option B,Option B,Option A,Option B,Option A,Option A,Option B
2/7/2017 4:36:08,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/7/2017 4:42:03,Option B,Option B,Option B,Option B,Option A,Option A,Option A
2/7/2017 4:46:09,Option B,Option A,Option B,Option A,Option A,Option A,Option B
2/7/2017 4:48:10,Option B,Option B,Option B,Option A,Option A,Option B,Option B
2/7/2017 4:58:42,Option B,Option A,Option B,Option A,Option A,Option A,Option B
2/7/2017 5:03:03,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 5:15:11,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 5:22:05,Option A,Option B,Option A,Option A,Option A,Option A,Option A
2/7/2017 5:29:04,Option B,Option A,Option B,Option B,Option A,Option A,Option A
2/7/2017 5:30:12,Option B,Option B,Option B,Option B,Option B,Option A,Option B
2/7/2017 5:41:40,Option B,Option B,Option B,Option A,Option A,Option A,Option B
2/7/2017 6:01:50,Option B,Option B,Option B,Option A,Option A,Option A,Option A
2/7/2017 6:03:49,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 6:06:36,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 6:22:04,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 6:31:26,Option B,Option B,Option B,Option B,Option A,Option A,Option B
2/7/2017 6:53:44,Option B,Option A,Option B,Option A,Option A,Option A,Option B
2/7/2017 6:58:21,Option B,Option A,Option B,Option A,Option A,Option A,Option B
2/7/2017 7:03:38,Option B,Option A,Option B,Option B,Option A,Option A,Option B
2/7/2017 7:12:57,Option B,Option A,Option B,Option A,Option A,Option A,Option B
2/7/2017 7:13:50,Option B,Option A,Option B,Option B,Option B,Option B,Option B
